Unnamed__0,timestamp,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,machine_status
149860,2018-07-14 1:40:00,2.50081,44.31424,49.91319275,45.09548569,638.4259,82.88943,14.43866,16.1603,15.69734,15.08247,46.69363,NORMAL
200553,2018-08-18 6:33:00,2.438831,51.47569275,51.38889,44.3576355,632.291626,69.79803,14.60503,16.16753,15.73351,15.08247,45.13146,NORMAL
37489,2018-04-27 0:49:00,2.433912,45.3993,52.03993,42.53472137,627.4305,78.88628,13.28848,16.21094,15.37182,15.08247,46.45637,NORMAL
119399,2018-06-22 21:59:00,2.507697,48.00347137,50.95486,42.1875,647.6852,75.4076,14.13484,15.87095,15.07523,14.93779,50.94366,NORMAL
253,2018-04-01 4:13:00,2.459491,48.4809,52.82118,45.09548569,637.2686,68.05379,13.5923,16.21094,15.69734,15.0897,39.64798,NORMAL
40227,2018-04-28 22:27:00,2.433912,46.48438,51.95312,42.578125,638.5416,83.57208,13.26678,16.6522,15.18374,15.11863,43.11096,NORMAL
205874,2018-08-21 23:14:00,2.504745,47.61284637,51.47569,45.13889,633.7962646,73.47784,14.67737,16.12413,15.69734,15.08247,43.32083,NORMAL
29119,2018-04-21 5:19:00,2.345371,49.52257,47.91666,40.01736,636.6898,81.56246,13.31742,16.6088,15.11863,14.82205,41.79564,NORMAL
135547,2018-07-04 3:07:00,0.001967592631,36.328125,34.24478912,38.19444,202.0630646,0,0.0289351847,0.03616898134,0.0289351847,0.007233796176,0.2777301,RECOVERING
134540,2018-07-03 10:20:00,,33.07291412,33.85416412,32.98611069,3.029513836,99.99987793,,,,,0.2494997,RECOVERING
39026,2018-04-28 2:26:00,2.474248,46.31076,51.21527,42.1441,642.7084,74.06709,13.30295,16.6088,15.18374,15.16204,44.27756,NORMAL
5056,2018-04-04 12:16:00,2.420139,52.60416,52.56076,46.65798569,639.2361,83.42956,13.53443,16.6522,15.49479,15.36458,35.90642,NORMAL
135901,2018-07-04 9:01:00,0.001967592631,38.19444275,35.11284637,39.01909637,204.262146,0,0.0289351847,0.03616898134,0.0289351847,0.007233796176,0.2520514,RECOVERING
192580,2018-08-12 17:40:00,2.455556,50.17361069,52.38715,45.5295105,633.4490967,68.1007,14.60503,16.16753,15.69734,15.11863,38.64396,NORMAL
30623,2018-04-22 6:23:00,2.401447,48.56771,53.03819,45.18228912,645.0231,78.08919,13.12211,16.16753,15.84925,15.08247,43.19135,NORMAL
130954,2018-06-30 22:34:00,,38.19444,39.45313,36.02430344,3.33622694,99.99987793,,,,,0.2531948,RECOVERING
154064,2018-07-16 23:44:00,2.493924,43.61978912,50.60764,44.7482605,640.5093,77.30552,14.5761,16.64496,15.56713,15.08247,45.50289,NORMAL
131916,2018-07-01 14:36:00,,34.93923569,37.32638931,34.80902481,3.33622694,99.99987793,,,,,0.2213541418,RECOVERING
121932,2018-06-24 16:12:00,2.017766237,49.91319275,53.3420105,44.22742844,579.7454,97.18951,12.07321,15.87095,15.07523,14.85822,40.18505,NORMAL
131101,2018-07-01 1:01:00,,35.41666412,38.49826431,35.11284637,3.33622694,99.99987793,,,,,0.2705439329,RECOVERING
217269,2018-08-29 21:09:00,2.436863,47.30902481,51.73611069,43.66319275,636.5741,76.35208,15.0897,16.60879517,15.69734,15.01013,41.55145,NORMAL
14433,2018-04-11 0:33:00,2.456539,50.13021,51.43229,41.66666412,647.338,80.18585,13.5923,16.21094,15.81308,15.08247,40.60197,NORMAL
8082,2018-04-06 14:42:00,2.460474,53.38541,54.47049,47.13541,638.6574,80.32565,13.1004,16.16753,15.66117,15.08247,34.05247,NORMAL
140602,2018-07-07 15:22:00,2.397512,46.05035,53.12499619,44.66145706,628.125,93.9638,13.83102,15.66116905,15.22714,15.01013,42.15945,NORMAL
17578,2018-04-13 4:58:00,,45.18229,48.04688,41.53645706,3.260995269,0,7.588252,16.6522,16.68837,16.57986,2.624064,RECOVERING
33545,2018-04-24 7:05:00,2.453588,48.35069,53.81944275,44.70486069,638.4259,76.71839,13.67911,16.16753,15.69734,15.08247,43.76752,NORMAL
99307,2018-06-08 23:07:00,2.510648,47.17882,50.73785,41.27603912,635.9954,79.65298,13.5272,16.16753,15.11863,14.82205,43.59298,NORMAL
122327,2018-06-24 22:47:00,1.92037,48.87152,51.64930344,43.88021,574.8843,99.99987793,12.62297,16.03733,15.14757,14.82205,34.54359,NORMAL
94400,2018-06-05 13:20:00,2.460474,49.30555,53.34201,44.01041412,625.9259,85.94499,13.65017,15.625,15.29224,15.05353,50.24665,NORMAL
167495,2018-07-26 7:35:00,2.498843,52.30035,51.5191,43.44617844,639.8148193,80.31154,14.67737,16.6522,16.1603,15.58883,46.48251,NORMAL
108705,2018-06-15 11:45:00,2.50081,48.56770706,50.86805344,42.36111069,632.6389,81.92017,13.34635,15.95775,15.50926,15.16204,45.86525,NORMAL
49669,2018-05-05 11:49:00,2.456539,47.35243,52.12673569,45.83333206,637.8472,75.63021,13.30295,16.39178,14.98843,14.82205,45.1841,NORMAL
115073,2018-06-19 21:53:00,2.49294,48.4375,49.91319275,41.2326355,642.8241,77.86193,13.83102,16.13136,15.77691,15.08247,51.67231,NORMAL
32089,2018-04-23 6:49:00,2.405382,48.78472,53.99305,45.13889,633.7963,75.06261,13.62847,16.16753,15.61777,15.08247,39.67674,NORMAL
141252,2018-07-08 2:12:00,0.7860532,43.83680344,51.86631775,44.31423569,175.9056702,41.31175,12.62297,13.65017,13.31742,12.5651,13.2515,NORMAL
168423,2018-07-26 23:03:00,2.50081,52.99479,51.6493,45.52951,635.6481934,76.03997,14.14931,16.75347,16.2037,15.63223,42.68974,NORMAL
